,Score (kcal/mol),Inter,Intra,Torsiones,Intra mejor pose,RMSD (Å),Válida (≤2Å)
Pose 1,-7.613,-12.286,-2.384,4.673,-2.384,2.544507764938927,❌
Pose 2,-7.535,-12.246,-2.299,4.626,-2.384,3.3992762547578814,❌
Pose 3,-7.532,-13.114,-1.426,4.624,-2.384,2.9024826144768516,❌
Pose 4,-7.476,-12.676,-1.773,4.589,-2.384,2.093605214128773,❌
Pose 5,-7.292,-12.11,-2.042,4.476,-2.384,2.295767173312804,❌
