pref_name,target_chembl_id,target_type
Sodium- and chloride-dependent GABA transporter 1,CHEMBL1903,SINGLE PROTEIN
Adenosine receptor A1,CHEMBL226,SINGLE PROTEIN
Type-1 angiotensin II receptor,CHEMBL227,SINGLE PROTEIN
Oxytocin receptor,CHEMBL2049,SINGLE PROTEIN
Somatostatin receptor type 2,CHEMBL1804,SINGLE PROTEIN
Gonadotropin-releasing hormone receptor,CHEMBL1855,SINGLE PROTEIN
Calcitonin receptor,CHEMBL1832,SINGLE PROTEIN
3-oxo-5-alpha-steroid 4-dehydrogenase 2,CHEMBL1856,SINGLE PROTEIN
Sodium-dependent serotonin transporter,CHEMBL228,SINGLE PROTEIN
4-hydroxyphenylpyruvate dioxygenase,CHEMBL1861,SINGLE PROTEIN
Corticotropin-releasing factor receptor 1,CHEMBL1800,SINGLE PROTEIN
Alpha-1A adrenergic receptor,CHEMBL229,SINGLE PROTEIN
Prostaglandin G/H synthase 2,CHEMBL230,SINGLE PROTEIN
Histamine H1 receptor,CHEMBL231,SINGLE PROTEIN
Alpha-1B adrenergic receptor,CHEMBL232,SINGLE PROTEIN
Mu-type opioid receptor,CHEMBL233,SINGLE PROTEIN
D(3) dopamine receptor,CHEMBL234,SINGLE PROTEIN
Sodium channel protein type 1 subunit alpha,CHEMBL1845,SINGLE PROTEIN
Amiloride-sensitive sodium channel subunit alpha,CHEMBL1791,SINGLE PROTEIN
Peroxisome proliferator-activated receptor gamma,CHEMBL235,SINGLE PROTEIN
Vasopressin V1a receptor,CHEMBL1889,SINGLE PROTEIN
Delta-type opioid receptor,CHEMBL236,SINGLE PROTEIN
Kappa-type opioid receptor,CHEMBL237,SINGLE PROTEIN
Nociceptin receptor,CHEMBL2014,SINGLE PROTEIN
Prostaglandin F2-alpha receptor,CHEMBL1987,SINGLE PROTEIN
Prostaglandin E2 receptor EP2 subtype,CHEMBL1881,SINGLE PROTEIN
Prostacyclin receptor,CHEMBL1995,SINGLE PROTEIN
5-hydroxytryptamine receptor 3A,CHEMBL1899,SINGLE PROTEIN
Glucagon receptor,CHEMBL1985,SINGLE PROTEIN
Secretin receptor,CHEMBL1925,SINGLE PROTEIN
Vasopressin V1b receptor,CHEMBL1921,SINGLE PROTEIN
Xanthine dehydrogenase/oxidase,CHEMBL1929,SINGLE PROTEIN
Voltage-dependent calcium channel subunit alpha-2/delta-1,CHEMBL1919,SINGLE PROTEIN
Solute carrier family 12 member 3,CHEMBL1876,SINGLE PROTEIN
"4-aminobutyrate aminotransferase, mitochondrial",CHEMBL2044,SINGLE PROTEIN
Adrenocorticotropic hormone receptor,CHEMBL1965,SINGLE PROTEIN
Sodium-dependent dopamine transporter,CHEMBL238,SINGLE PROTEIN
"Dihydroorotate dehydrogenase (quinone), mitochondrial",CHEMBL1966,SINGLE PROTEIN
Growth hormone-releasing hormone receptor,CHEMBL2032,SINGLE PROTEIN
Parathyroid hormone/parathyroid hormone-related peptide receptor,CHEMBL1793,SINGLE PROTEIN
"Glutamate receptor ionotropic, NMDA 1",CHEMBL2015,SINGLE PROTEIN
Synaptic vesicular amine transporter,CHEMBL1893,SINGLE PROTEIN
Peroxisome proliferator-activated receptor alpha,CHEMBL239,SINGLE PROTEIN
ATP-binding cassette sub-family C member 8,CHEMBL2071,SINGLE PROTEIN
Voltage-gated inwardly rectifying potassium channel KCNH2,CHEMBL240,SINGLE PROTEIN
"Glutamate receptor ionotropic, NMDA 2A",CHEMBL1972,SINGLE PROTEIN
Solute carrier family 12 member 1,CHEMBL1874,SINGLE PROTEIN
5-hydroxytryptamine receptor 4,CHEMBL1875,SINGLE PROTEIN
Voltage-dependent L-type calcium channel subunit alpha-1C,CHEMBL1940,SINGLE PROTEIN
"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",CHEMBL241,SINGLE PROTEIN
"Thioredoxin reductase 1, cytoplasmic",CHEMBL1927,SINGLE PROTEIN
Estrogen receptor beta,CHEMBL242,SINGLE PROTEIN
Equilibrative nucleoside transporter 1,CHEMBL1997,SINGLE PROTEIN
P2Y purinoceptor 12,CHEMBL2001,SINGLE PROTEIN
Cysteinyl leukotriene receptor 1,CHEMBL1798,SINGLE PROTEIN
Peptidyl-prolyl cis-trans isomerase A,CHEMBL1949,SINGLE PROTEIN
B-lymphocyte antigen CD20,CHEMBL2058,SINGLE PROTEIN
Interleukin-2 receptor subunit alpha,CHEMBL1778,SINGLE PROTEIN
Glutamate carboxypeptidase 2,CHEMBL1892,SINGLE PROTEIN
Tumor necrosis factor,CHEMBL1825,SINGLE PROTEIN
"Vascular endothelial growth factor A, long form",CHEMBL1783,SINGLE PROTEIN
Receptor tyrosine-protein kinase erbB-2,CHEMBL1824,SINGLE PROTEIN
Integrin alpha-L,CHEMBL1803,SINGLE PROTEIN
Coagulation factor IX,CHEMBL2016,SINGLE PROTEIN
Coagulation factor X,CHEMBL244,SINGLE PROTEIN
Lymphotoxin-alpha,CHEMBL2059,SINGLE PROTEIN
T-cell surface antigen CD2,CHEMBL2040,SINGLE PROTEIN
Platelet-derived growth factor receptor beta,CHEMBL1913,SINGLE PROTEIN
Interleukin-1 receptor type 1,CHEMBL1959,SINGLE PROTEIN
Interferon alpha/beta receptor 1,CHEMBL1887,SINGLE PROTEIN
Erythropoietin receptor,CHEMBL1817,SINGLE PROTEIN
CAMPATH-1 antigen,CHEMBL1912,SINGLE PROTEIN
Interleukin-11 receptor subunit alpha,CHEMBL2050,SINGLE PROTEIN
Granulocyte colony-stimulating factor receptor,CHEMBL1996,SINGLE PROTEIN
Chymotrypsin-like elastase family member 1,CHEMBL3000,SINGLE PROTEIN
IkappaB kinase complex-associated protein,CHEMBL1818,SINGLE PROTEIN
Muscarinic acetylcholine receptor M4,CHEMBL1821,SINGLE PROTEIN
Muscarinic acetylcholine receptor M5,CHEMBL2035,SINGLE PROTEIN
Alpha-2B adrenergic receptor,CHEMBL1942,SINGLE PROTEIN
Alpha-2C adrenergic receptor,CHEMBL1916,SINGLE PROTEIN
Muscarinic acetylcholine receptor M3,CHEMBL245,SINGLE PROTEIN
D(1B) dopamine receptor,CHEMBL1850,SINGLE PROTEIN
Gamma-aminobutyric acid receptor subunit beta-2,CHEMBL1920,SINGLE PROTEIN
"Glutamate receptor ionotropic, NMDA 2B",CHEMBL1904,SINGLE PROTEIN
Ryanodine receptor 3,CHEMBL2062,SINGLE PROTEIN
Vitamin K epoxide reductase complex subunit 1,CHEMBL1930,SINGLE PROTEIN
Beta-3 adrenergic receptor,CHEMBL246,SINGLE PROTEIN
5-hydroxytryptamine receptor 2B,CHEMBL1833,SINGLE PROTEIN
Immunoglobulin heavy constant epsilon,CHEMBL1834,SINGLE PROTEIN
Lipoprotein lipase,CHEMBL2060,SINGLE PROTEIN
T-cell surface glycoprotein CD3 epsilon chain,CHEMBL1975,SINGLE PROTEIN
Insulin-like growth factor 1 receptor,CHEMBL1957,SINGLE PROTEIN
Neutrophil elastase,CHEMBL248,SINGLE PROTEIN
Neprilysin,CHEMBL1944,SINGLE PROTEIN
Leukotriene A-4 hydrolase,CHEMBL4618,SINGLE PROTEIN
Mast/stem cell growth factor receptor Kit,CHEMBL1936,SINGLE PROTEIN
Retinoic acid receptor gamma,CHEMBL2003,SINGLE PROTEIN
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,CHEMBL1958,SINGLE PROTEIN
Aldo-keto reductase family 1 member B1,CHEMBL1900,SINGLE PROTEIN
Aminopeptidase N,CHEMBL1907,SINGLE PROTEIN
Atrial natriuretic peptide receptor 1,CHEMBL1988,SINGLE PROTEIN
Dipeptidase 1,CHEMBL1989,SINGLE PROTEIN
Thromboxane A2 receptor,CHEMBL2069,SINGLE PROTEIN
Endothelin receptor type B,CHEMBL1785,SINGLE PROTEIN
Thromboxane-A synthase,CHEMBL1835,SINGLE PROTEIN
Endothelin-1 receptor,CHEMBL252,SINGLE PROTEIN
Substance-P receptor,CHEMBL249,SINGLE PROTEIN
Platelet-activating factor receptor,CHEMBL250,SINGLE PROTEIN
Adenosine receptor A2a,CHEMBL251,SINGLE PROTEIN
Cannabinoid receptor 2,CHEMBL253,SINGLE PROTEIN
Thyrotropin-releasing hormone receptor,CHEMBL1810,SINGLE PROTEIN
Prostaglandin E2 receptor EP1 subtype,CHEMBL1811,SINGLE PROTEIN
Prostaglandin E2 receptor EP4 subtype,CHEMBL1836,SINGLE PROTEIN
Thrombopoietin receptor,CHEMBL1864,SINGLE PROTEIN
Retinoic acid receptor RXR-gamma,CHEMBL2004,SINGLE PROTEIN
Chromaffin granule amine transporter,CHEMBL1838,SINGLE PROTEIN
Retinoic acid receptor beta,CHEMBL2008,SINGLE PROTEIN
Thyroid hormone receptor beta,CHEMBL1947,SINGLE PROTEIN
Ornithine decarboxylase,CHEMBL1869,SINGLE PROTEIN
Retinoic acid receptor RXR-alpha,CHEMBL2061,SINGLE PROTEIN
"3',5'-cyclic-AMP phosphodiesterase 4A",CHEMBL254,SINGLE PROTEIN
Retinoic acid receptor RXR-beta,CHEMBL1870,SINGLE PROTEIN
Adenosine receptor A2b,CHEMBL255,SINGLE PROTEIN
5-hydroxytryptamine receptor 1F,CHEMBL1805,SINGLE PROTEIN
Adenosine receptor A3,CHEMBL256,SINGLE PROTEIN
Extracellular calcium-sensing receptor,CHEMBL1878,SINGLE PROTEIN
"Succinate-semialdehyde dehydrogenase, mitochondrial",CHEMBL1911,SINGLE PROTEIN
ATP-sensitive inward rectifier potassium channel 11,CHEMBL1886,SINGLE PROTEIN
Ceramide glucosyltransferase,CHEMBL2063,SINGLE PROTEIN
26S proteasome regulatory subunit S1,CHEMBL1934,SINGLE PROTEIN
DNA (cytosine-5)-methyltransferase 1,CHEMBL1993,SINGLE PROTEIN
DNA (cytosine-5)-methyltransferase 3A,CHEMBL1992,SINGLE PROTEIN
