pref_name,target_chembl_id,target_type
Geranylgeranyl transferase type-2 subunit alpha,CHEMBL5249,SINGLE PROTEIN
Integrin-linked protein kinase,CHEMBL5247,SINGLE PROTEIN
Inositol-trisphosphate 3-kinase A,CHEMBL5164,SINGLE PROTEIN
Inositol-trisphosphate 3-kinase B,CHEMBL5165,SINGLE PROTEIN
Ras guanyl-releasing protein 3,CHEMBL3638,SINGLE PROTEIN
Potassium voltage-gated channel subfamily A member 6,CHEMBL5279,SINGLE PROTEIN
Voltage-gated potassium channel KCNC1,CHEMBL5529,SINGLE PROTEIN
ETS domain-containing protein Elk-1,CHEMBL4453,SINGLE PROTEIN
Serine/threonine-protein kinase B-raf,CHEMBL5145,SINGLE PROTEIN
Tyrosine-protein kinase Fgr,CHEMBL4454,SINGLE PROTEIN
Breakpoint cluster region protein,CHEMBL5146,SINGLE PROTEIN
Ephrin type-B receptor 4,CHEMBL5147,SINGLE PROTEIN
CX3C chemokine receptor 1,CHEMBL4843,SINGLE PROTEIN
MAP/microtubule affinity-regulating kinase 3,CHEMBL5600,SINGLE PROTEIN
SH2/SH3 adapter protein NCK1,CHEMBL4846,SINGLE PROTEIN
Flap endonuclease 1,CHEMBL5027,SINGLE PROTEIN
DNA excision repair protein ERCC-5,CHEMBL4736,SINGLE PROTEIN
Cytochrome P450 26A1,CHEMBL5141,SINGLE PROTEIN
Eukaryotic translation initiation factor 4E,CHEMBL4848,SINGLE PROTEIN
Coagulation factor XIII A chain,CHEMBL4530,SINGLE PROTEIN
Disintegrin and metalloproteinase domain-containing protein 12,CHEMBL5030,SINGLE PROTEIN
Disintegrin and metalloproteinase domain-containing protein 10,CHEMBL5028,SINGLE PROTEIN
Serpin H1,CHEMBL5286,SINGLE PROTEIN
Galectin-3,CHEMBL4531,SINGLE PROTEIN
"Alkaline phosphatase, placental type",CHEMBL4458,SINGLE PROTEIN
Hepatic sodium/bile acid cotransporter,CHEMBL5287,SINGLE PROTEIN
Large neutral amino acids transporter small subunit 1,CHEMBL4459,SINGLE PROTEIN
Large neutral amino acids transporter small subunit 2,CHEMBL4301,SINGLE PROTEIN
Large neutral amino acids transporter small subunit 3,CHEMBL4148,SINGLE PROTEIN
Kinesin-like protein KIF11,CHEMBL4581,SINGLE PROTEIN
Protein c-Fos,CHEMBL5029,SINGLE PROTEIN
Transcription factor p65,CHEMBL5533,SINGLE PROTEIN
Complement C3,CHEMBL4917,SINGLE PROTEIN
PA-1,CHEMBL614949,CELL-LINE
BRISTOL8,CHEMBL614950,CELL-LINE
Prolyl endopeptidase FAP,CHEMBL4683,SINGLE PROTEIN
Glucosidase II beta subunit,CHEMBL5242,SINGLE PROTEIN
Mannosyl-oligosaccharide glucosidase,CHEMBL4684,SINGLE PROTEIN
Monoglyceride lipase,CHEMBL4191,SINGLE PROTEIN
N-acylethanolamine-hydrolyzing acid amidase,CHEMBL4349,SINGLE PROTEIN
"POU domain, class 3, transcription factor 3",CHEMBL5243,SINGLE PROTEIN
"POU domain, class 3, transcription factor 2",CHEMBL4189,SINGLE PROTEIN
Transcription factor E2F1,CHEMBL4382,SINGLE PROTEIN
Bcl-2-like protein 1,CHEMBL4625,SINGLE PROTEIN
2-Hydroxyacid oxidase 1,CHEMBL4229,SINGLE PROTEIN
Prostaglandin E synthase 2,CHEMBL4411,SINGLE PROTEIN
Hyaluronidase-1,CHEMBL4528,SINGLE PROTEIN
Monoclonal antibody (mAb) 2E2,CHEMBL612442,UNKNOWN
Anti-estrogen binding site (AEBS),CHEMBL612409,PROTEIN COMPLEX
Protein S100-B,CHEMBL4300,SINGLE PROTEIN
Flavin reductase (NADPH),CHEMBL5019,SINGLE PROTEIN
Gastric inhibitory polypeptide receptor,CHEMBL4383,SINGLE PROTEIN
"Thymidine kinase 2, mitochondrial",CHEMBL4580,SINGLE PROTEIN
Guanine nucleotide-binding protein G(i) subunit alpha-1,CHEMBL4741,SINGLE PROTEIN
Guanine nucleotide-binding protein G(i) subunit alpha-3,CHEMBL4221,SINGLE PROTEIN
Guanine nucleotide-binding protein G(o) subunit alpha,CHEMBL4742,SINGLE PROTEIN
Apoptosis regulator Bcl-2,CHEMBL4860,SINGLE PROTEIN
"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",CHEMBL5203,SINGLE PROTEIN
"Beta-1,4-galactosyltransferase 1",CHEMBL4384,SINGLE PROTEIN
Lymphocyte function-associated antigen 3,CHEMBL3790,SINGLE PROTEIN
Hypoxia-inducible factor 1-alpha,CHEMBL4261,SINGLE PROTEIN
"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3",CHEMBL5212,SINGLE PROTEIN
Vasoactive intestinal polypeptide receptor 1,CHEMBL5144,SINGLE PROTEIN
Vasoactive intestinal polypeptide receptor 2,CHEMBL4532,SINGLE PROTEIN
HSVEC,CHEMBL612419,CELL-LINE
N-formyl peptide receptor 2,CHEMBL4227,SINGLE PROTEIN
MV4-11,CHEMBL613835,CELL-LINE
Tyrosine-protein kinase receptor UFO,CHEMBL4895,SINGLE PROTEIN
Lymphokine-activated killer T-cell-originated protein kinase,CHEMBL4896,SINGLE PROTEIN
Serine/threonine-protein kinase PLK3,CHEMBL4897,SINGLE PROTEIN
BDNF/NT-3 growth factors receptor,CHEMBL4898,SINGLE PROTEIN
Mitogen-activated protein kinase kinase kinase 8,CHEMBL4899,SINGLE PROTEIN
Serine/threonine-protein kinase D2,CHEMBL4900,SINGLE PROTEIN
Ephrin type-B receptor 3,CHEMBL4901,SINGLE PROTEIN
ALK tyrosine kinase receptor,CHEMBL4247,SINGLE PROTEIN
Tyrosine-protein kinase Tec,CHEMBL4246,SINGLE PROTEIN
Tyrosine-protein kinase TXK,CHEMBL4367,SINGLE PROTEIN
Hydroxycarboxylic acid receptor 3,CHEMBL4421,SINGLE PROTEIN
Free fatty acid receptor 1,CHEMBL4422,SINGLE PROTEIN
C-C chemokine receptor type 6,CHEMBL4423,SINGLE PROTEIN
C-C chemokine receptor type 7,CHEMBL4594,SINGLE PROTEIN
C-C chemokine receptor type 8,CHEMBL4596,SINGLE PROTEIN
Inner centromere protein,CHEMBL5177,SINGLE PROTEIN
Nucleophosmin,CHEMBL5178,SINGLE PROTEIN
Toll-like receptor 4,CHEMBL5255,SINGLE PROTEIN
Serine racemase,CHEMBL4460,SINGLE PROTEIN
"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",CHEMBL4461,SINGLE PROTEIN
NAD-dependent protein deacetylase sirtuin-2,CHEMBL4462,SINGLE PROTEIN
NAD-dependent protein deacetylase sirtuin-1,CHEMBL4506,SINGLE PROTEIN
High affinity choline transporter 1,CHEMBL4507,SINGLE PROTEIN
Glutaminyl-peptide cyclotransferase,CHEMBL4508,SINGLE PROTEIN
Monocarboxylate transporter 1,CHEMBL4360,SINGLE PROTEIN
Induced myeloid leukemia cell differentiation protein Mcl-1,CHEMBL4361,SINGLE PROTEIN
Dipeptidyl peptidase 3,CHEMBL4520,SINGLE PROTEIN
"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",CHEMBL4521,SINGLE PROTEIN
Bcl-2-like protein 2,CHEMBL4677,SINGLE PROTEIN
"Branched-chain-amino-acid aminotransferase, cytosolic",CHEMBL4679,SINGLE PROTEIN
A disintegrin and metalloproteinase with thrombospondin motifs 1,CHEMBL5133,SINGLE PROTEIN
Aldo-keto reductase family 1 member C3,CHEMBL4681,SINGLE PROTEIN
Receptor-type tyrosine-protein phosphatase epsilon,CHEMBL4850,SINGLE PROTEIN
Protein tyrosine phosphatase type IVA 3,CHEMBL4162,SINGLE PROTEIN
Toll-like receptor 2,CHEMBL4163,SINGLE PROTEIN
ASPC1,CHEMBL612588,CELL-LINE
MCF10,CHEMBL613878,CELL-LINE
Huh-5-2,CHEMBL613881,CELL-LINE
Lu1,CHEMBL613290,CELL-LINE
ARO,CHEMBL612590,CELL-LINE
BUD-8,CHEMBL612591,CELL-LINE
CEM/C2,CHEMBL612406,CELL-LINE
CWR22R,CHEMBL612657,CELL-LINE
F2000,CHEMBL612415,CELL-LINE
FG2,CHEMBL612407,CELL-LINE
NCI-H295R,CHEMBL612593,CELL-LINE
HL,CHEMBL612594,CELL-LINE
HPAC,CHEMBL612595,CELL-LINE
Hs 683,CHEMBL612596,CELL-LINE
Hs 766,CHEMBL612597,CELL-LINE
IMR-90,CHEMBL612577,CELL-LINE
KETR3,CHEMBL614637,CELL-LINE
KHOS/NP,CHEMBL612598,CELL-LINE
LAPC4,CHEMBL613292,CELL-LINE
Sodium- and chloride-dependent GABA transporter 2,CHEMBL4535,SINGLE PROTEIN
Hydroxycarboxylic acid receptor 2,CHEMBL3785,SINGLE PROTEIN
Autotaxin,CHEMBL3691,SINGLE PROTEIN
Receptor-type tyrosine-protein phosphatase eta,CHEMBL3692,SINGLE PROTEIN
Serine/threonine-protein phosphatase PP1-beta catalytic subunit,CHEMBL4546,SINGLE PROTEIN
Cytochrome P450 2J2,CHEMBL3491,SINGLE PROTEIN
Proteasome Macropain subunit,CHEMBL3492,SINGLE PROTEIN
NADP-dependent malic enzyme,CHEMBL3495,SINGLE PROTEIN
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,CHEMBL4660,SINGLE PROTEIN
Receptor-type tyrosine-protein phosphatase mu,CHEMBL4661,SINGLE PROTEIN
Proteasome Macropain subunit MB1,CHEMBL4662,SINGLE PROTEIN
Low molecular weight phosphotyrosine protein phosphatase,CHEMBL4903,SINGLE PROTEIN
Receptor-type tyrosine-protein phosphatase gamma,CHEMBL4905,SINGLE PROTEIN
Potassium voltage-gated channel subfamily A member 4,CHEMBL4205,SINGLE PROTEIN
Proteasome component C5,CHEMBL4208,SINGLE PROTEIN
UDP-glucuronosyltransferase 2B7,CHEMBL4370,SINGLE PROTEIN
"Indoleamine 2,3-dioxygenase 1",CHEMBL4685,SINGLE PROTEIN
Galectin-1,CHEMBL4915,SINGLE PROTEIN
HLA class II histocompatibility antigen gamma chain,CHEMBL4692,SINGLE PROTEIN
"Malonyl-CoA decarboxylase, mitochondrial",CHEMBL4698,SINGLE PROTEIN
UDP-glucuronosyltransferase 2B17,CHEMBL4978,SINGLE PROTEIN
Cytosolic endo-beta-N-acetylglucosaminidase,CHEMBL5172,SINGLE PROTEIN
Panc1005,CHEMBL612583,CELL-LINE
Panc203,CHEMBL612584,CELL-LINE
Panc430,CHEMBL614673,CELL-LINE
Panel (12 tumour cell lines),CHEMBL612585,CELL-LINE
PT-45,CHEMBL612586,CELL-LINE
WRL68,CHEMBL612587,CELL-LINE
Bcap37,CHEMBL613842,CELL-LINE
CNE,CHEMBL613824,CELL-LINE
FEPD,CHEMBL614866,CELL-LINE
H3396,CHEMBL613839,CELL-LINE
HFL1,CHEMBL612547,CELL-LINE
MeWo,CHEMBL613300,CELL-LINE
MX1,CHEMBL613704,CELL-LINE
Panel NCI-62 (62 carcinoma cell lines),CHEMBL613830,CELL-LINE
SHP77,CHEMBL612569,CELL-LINE
SMMC-7721,CHEMBL613831,CELL-LINE
SUD4,CHEMBL613711,CELL-LINE
SW1573,CHEMBL612570,CELL-LINE
UXF1139,CHEMBL613832,CELL-LINE
Y79,CHEMBL613820,CELL-LINE
TPC1,CHEMBL613836,CELL-LINE
C20/A4,CHEMBL613871,CELL-LINE
Neuropilin-1,CHEMBL5174,SINGLE PROTEIN
3-hydroxyacyl-CoA dehydrogenase type-2,CHEMBL4159,SINGLE PROTEIN
Cathepsin Z,CHEMBL4160,SINGLE PROTEIN
Long-chain fatty acid transport protein 2,CHEMBL4326,SINGLE PROTEIN
Long-chain fatty acid transport protein 4,CHEMBL4327,SINGLE PROTEIN
Long-chain fatty acid transport protein 5,CHEMBL5196,SINGLE PROTEIN
Betaine--homocysteine S-methyltransferase 1,CHEMBL4328,SINGLE PROTEIN
Photoreceptor-specific nuclear receptor,CHEMBL4374,SINGLE PROTEIN
SRSF protein kinase 1,CHEMBL4375,SINGLE PROTEIN
Dual specificity tyrosine-phosphorylation-regulated kinase 2,CHEMBL4376,SINGLE PROTEIN
Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,CHEMBL4377,SINGLE PROTEIN
Protein-S-isoprenylcysteine O-methyltransferase,CHEMBL4699,SINGLE PROTEIN
Chemerin-like receptor 1,CHEMBL3540,SINGLE PROTEIN
Serine/threonine-protein kinase NIM1,CHEMBL3542,SINGLE PROTEIN
Nuclear receptor subfamily 5 group A member 2,CHEMBL3544,SINGLE PROTEIN
Steroidogenic factor 1,CHEMBL4666,SINGLE PROTEIN
Group 3 secretory phospholipase A2,CHEMBL4667,SINGLE PROTEIN
Mitogen-activated protein kinase 15,CHEMBL5198,SINGLE PROTEIN
MAP kinase-activated protein kinase 3,CHEMBL4670,SINGLE PROTEIN
MAP kinase-interacting serine/threonine-protein kinase 1,CHEMBL4718,SINGLE PROTEIN
Serine/threonine-protein kinase Nek7,CHEMBL4849,SINGLE PROTEIN
Serine/threonine-protein kinase MRCK alpha,CHEMBL4516,SINGLE PROTEIN
P2Y purinoceptor 14,CHEMBL4518,SINGLE PROTEIN
Serine/threonine-protein kinase BRSK2,CHEMBL4574,SINGLE PROTEIN
Dual specificity tyrosine-phosphorylation-regulated kinase 3,CHEMBL4575,SINGLE PROTEIN
Homeodomain-interacting protein kinase 2,CHEMBL4576,SINGLE PROTEIN
Homeodomain-interacting protein kinase 3,CHEMBL4577,SINGLE PROTEIN
Maternal embryonic leucine zipper kinase,CHEMBL4578,SINGLE PROTEIN
Serine/threonine-protein kinase pim-3,CHEMBL5407,SINGLE PROTEIN
Serine/threonine-protein kinase TBK1,CHEMBL5408,SINGLE PROTEIN
G-protein coupled bile acid receptor 1,CHEMBL5409,SINGLE PROTEIN
KiSS-1 receptor,CHEMBL5413,SINGLE PROTEIN
Free fatty acid receptor 3,CHEMBL5201,SINGLE PROTEIN
Free fatty acid receptor 2,CHEMBL5493,SINGLE PROTEIN
Histone acetyltransferase p300,CHEMBL3784,SINGLE PROTEIN
Histone acetyltransferase KAT2B,CHEMBL5500,SINGLE PROTEIN
Histone acetyltransferase KAT2A,CHEMBL5501,SINGLE PROTEIN
Histone-lysine N-methyltransferase SETD7,CHEMBL5523,SINGLE PROTEIN
Protein arginine N-methyltransferase 1,CHEMBL5524,SINGLE PROTEIN
CDK-activating kinase assembly factor MAT1,CHEMBL5053,SINGLE PROTEIN
ATP-dependent RNA helicase DDX18,CHEMBL5060,SINGLE PROTEIN
Ubiquitin-conjugating enzyme E2 variant 1,CHEMBL5234,SINGLE PROTEIN
Glycogen debranching enzyme,CHEMBL5272,SINGLE PROTEIN
Tyrosine-protein kinase receptor Tie-1,CHEMBL5274,SINGLE PROTEIN
Bone morphogenetic protein receptor type-1A,CHEMBL5275,SINGLE PROTEIN
Activin receptor type-1B,CHEMBL5310,SINGLE PROTEIN
Activin receptor type-1-like,CHEMBL5311,SINGLE PROTEIN
Tyrosine-protein kinase receptor TYRO3,CHEMBL5314,SINGLE PROTEIN
Peroxiredoxin-1,CHEMBL5315,SINGLE PROTEIN
Cyclin-dependent kinase 18,CHEMBL5316,SINGLE PROTEIN
Apoptosis regulator BAX,CHEMBL5318,SINGLE PROTEIN
Epithelial discoidin domain-containing receptor 1,CHEMBL5319,SINGLE PROTEIN
Myotonin-protein kinase,CHEMBL5320,SINGLE PROTEIN
eIF-2-alpha kinase GCN2,CHEMBL5358,SINGLE PROTEIN
Serine/threonine-protein kinase NLK,CHEMBL5364,SINGLE PROTEIN
DNA polymerase kappa,CHEMBL5365,SINGLE PROTEIN
Poly [ADP-ribose] polymerase 2,CHEMBL5366,SINGLE PROTEIN
DNA polymerase lambda,CHEMBL5367,SINGLE PROTEIN
Acid-sensing ion channel 3,CHEMBL5368,SINGLE PROTEIN
Retinoblastoma-associated protein,CHEMBL5288,SINGLE PROTEIN
Calcitonin gene-related peptide 1,CHEMBL5293,SINGLE PROTEIN
Forkhead box protein O1,CHEMBL5294,SINGLE PROTEIN
Kinesin heavy chain isoform 5A,CHEMBL5295,SINGLE PROTEIN
Mitogen-activated protein kinase kinase kinase kinase 2,CHEMBL5330,SINGLE PROTEIN
Tyrosine-protein kinase Mer,CHEMBL5331,SINGLE PROTEIN
Mitogen-activated protein kinase 7,CHEMBL5332,SINGLE PROTEIN
Polyadenylate-binding protein 4,CHEMBL5333,SINGLE PROTEIN
Non-receptor tyrosine-protein kinase TNK1,CHEMBL5334,SINGLE PROTEIN
Baculoviral IAP repeat-containing protein 3,CHEMBL5335,SINGLE PROTEIN
Ectonucleoside triphosphate diphosphohydrolase 8,CHEMBL5338,SINGLE PROTEIN
Free fatty acid receptor 4,CHEMBL5339,SINGLE PROTEIN
Serine/threonine-protein kinase tousled-like 1,CHEMBL5388,SINGLE PROTEIN
Targeting protein for Xklp2,CHEMBL5389,SINGLE PROTEIN
Suppressor of fused homolog,CHEMBL5390,SINGLE PROTEIN
DNA polymerase iota,CHEMBL5391,SINGLE PROTEIN
Broad substrate specificity ATP-binding cassette transporter ABCG2,CHEMBL5393,SINGLE PROTEIN
SRSF protein kinase 3,CHEMBL5415,SINGLE PROTEIN
Cyclin-dependent kinase 11A,CHEMBL5416,SINGLE PROTEIN
"Fatty acid-binding protein, liver",CHEMBL5421,SINGLE PROTEIN
Protein disulfide-isomerase,CHEMBL5422,SINGLE PROTEIN
Ribonuclease pancreatic,CHEMBL5425,SINGLE PROTEIN
Heat shock 70 kDa protein 1A,CHEMBL5460,SINGLE PROTEIN
Zinc finger protein GLI1,CHEMBL5461,SINGLE PROTEIN
Baculoviral IAP repeat-containing protein 2,CHEMBL5462,SINGLE PROTEIN
Acid ceramidase,CHEMBL5463,SINGLE PROTEIN
Receptor-interacting serine/threonine-protein kinase 1,CHEMBL5464,SINGLE PROTEIN
Polycystin-2,CHEMBL5465,SINGLE PROTEIN
Activin receptor type-2B,CHEMBL5466,SINGLE PROTEIN
Bone morphogenetic protein receptor type-2,CHEMBL5467,SINGLE PROTEIN
Ras-specific guanine nucleotide-releasing factor 1,CHEMBL5468,SINGLE PROTEIN
Protein-tyrosine kinase 2-beta,CHEMBL5469,SINGLE PROTEIN
Kinesin-like protein KIF22,CHEMBL5470,SINGLE PROTEIN
Nuclear receptor subfamily 1 group I member 3,CHEMBL5503,SINGLE PROTEIN
DNA polymerase eta,CHEMBL5542,SINGLE PROTEIN
Dual specificity tyrosine-phosphorylation-regulated kinase 1B,CHEMBL5543,SINGLE PROTEIN
Kinesin-like protein KIF3A,CHEMBL5544,SINGLE PROTEIN
Diacylglycerol lipase-alpha,CHEMBL5545,SINGLE PROTEIN
Proto-oncogene tyrosine-protein kinase ROS,CHEMBL5568,SINGLE PROTEIN
Intestinal-type alkaline phosphatase,CHEMBL5573,SINGLE PROTEIN
PCNA-associated factor,CHEMBL5574,SINGLE PROTEIN
Lysine--tRNA ligase,CHEMBL5575,SINGLE PROTEIN
Kinesin-like protein KIF14,CHEMBL5576,SINGLE PROTEIN
Sonic hedgehog protein,CHEMBL5602,SINGLE PROTEIN
Nuclear receptor subfamily 0 group B member 2,CHEMBL5603,SINGLE PROTEIN
Dual specificity testis-specific protein kinase 1,CHEMBL5604,SINGLE PROTEIN
TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,CHEMBL5605,SINGLE PROTEIN
Serine/threonine-protein kinase STK11,CHEMBL5606,SINGLE PROTEIN
Rhodopsin kinase GRK1,CHEMBL5607,SINGLE PROTEIN
NT-3 growth factor receptor,CHEMBL5608,SINGLE PROTEIN
Bcl-2 homologous antagonist/killer,CHEMBL5609,SINGLE PROTEIN
Prostasin,CHEMBL5610,SINGLE PROTEIN
Serine/threonine-protein kinase MRCK gamma,CHEMBL5615,SINGLE PROTEIN
Endoplasmic reticulum aminopeptidase 2,CHEMBL5043,SINGLE PROTEIN
Serine/threonine-protein kinase Nek5,CHEMBL5044,SINGLE PROTEIN
Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1,CHEMBL5046,SINGLE PROTEIN
Serine/threonine-protein kinase ULK3,CHEMBL5047,SINGLE PROTEIN
Neutral cholesterol ester hydrolase 1,CHEMBL5048,SINGLE PROTEIN
Ectonucleoside triphosphate diphosphohydrolase 2,CHEMBL5049,SINGLE PROTEIN
Matrix metalloproteinase-24,CHEMBL5050,SINGLE PROTEIN
Transient receptor potential cation channel subfamily V member 2,CHEMBL5051,SINGLE PROTEIN
Serine/threonine-protein kinase MRCK beta,CHEMBL5052,SINGLE PROTEIN
Endothelial lipase,CHEMBL5080,SINGLE PROTEIN
Interleukin-1 receptor-associated kinase 3,CHEMBL5081,SINGLE PROTEIN
Serine/threonine-protein kinase 24,CHEMBL5082,SINGLE PROTEIN
Protein mono-ADP-ribosyltransferase PARP3,CHEMBL5083,SINGLE PROTEIN
Casein kinase I isoform gamma-3,CHEMBL5084,SINGLE PROTEIN
Wee1-like protein kinase 2,CHEMBL5095,SINGLE PROTEIN
Uncharacterized serine/threonine-protein kinase SBK3,CHEMBL5116,SINGLE PROTEIN
Zinc finger protein GLI2,CHEMBL5119,SINGLE PROTEIN
Non-secretory ribonuclease,CHEMBL5120,SINGLE PROTEIN
Mitogen-activated protein kinase 6,CHEMBL5121,SINGLE PROTEIN
Discoidin domain-containing receptor 2,CHEMBL5122,SINGLE PROTEIN
Neuropeptide S receptor,CHEMBL5162,SINGLE PROTEIN
T-cell-specific surface glycoprotein CD28,CHEMBL5191,SINGLE PROTEIN
"Solute carrier family 2, facilitated glucose transporter member 3",CHEMBL5215,SINGLE PROTEIN
Uridine 5'-monophosphate synthase,CHEMBL5216,SINGLE PROTEIN
Serine/threonine-protein kinase TNNI3K,CHEMBL5260,SINGLE PROTEIN
Serine/threonine-protein kinase TAO1,CHEMBL5261,SINGLE PROTEIN
G protein-regulated inducer of neurite outgrowth 1,CHEMBL5266,SINGLE PROTEIN
Protein ADM2,CHEMBL5267,SINGLE PROTEIN
Glucose-6-phosphate 1-dehydrogenase,CHEMBL5347,SINGLE PROTEIN
High affinity immunoglobulin gamma Fc receptor I,CHEMBL5349,SINGLE PROTEIN
Bone morphogenetic protein 4,CHEMBL5350,SINGLE PROTEIN
Hepatocyte nuclear factor 4-alpha,CHEMBL5398,SINGLE PROTEIN
Pituitary adenylate cyclase-activating polypeptide type I receptor,CHEMBL5399,SINGLE PROTEIN
Signal transducer and activator of transcription 6,CHEMBL5401,SINGLE PROTEIN
Signal transducer and activator of transcription 5A,CHEMBL5403,SINGLE PROTEIN
Serine/threonine-protein kinase tousled-like 2,CHEMBL5404,SINGLE PROTEIN
Serine/threonine-protein kinase 32C,CHEMBL5405,SINGLE PROTEIN
Histone-arginine methyltransferase CARM1,CHEMBL5406,SINGLE PROTEIN
Myosin light chain kinase family member 4,CHEMBL5426,SINGLE PROTEIN
Homeodomain-interacting protein kinase 1,CHEMBL5427,SINGLE PROTEIN
Mitogen-activated protein kinase kinase kinase kinase 3,CHEMBL5432,SINGLE PROTEIN
Tryptophan 5-hydroxylase 2,CHEMBL5433,SINGLE PROTEIN
Serine/threonine-protein kinase ULK2,CHEMBL5435,SINGLE PROTEIN
Galectin-9,CHEMBL5474,SINGLE PROTEIN
Galectin-8,CHEMBL5475,SINGLE PROTEIN
Bone morphogenetic protein receptor type-1B,CHEMBL5476,SINGLE PROTEIN
Proteinase-activated receptor 3,CHEMBL5477,SINGLE PROTEIN
Hepatocyte growth factor,CHEMBL5479,SINGLE PROTEIN
Perforin-1,CHEMBL5480,SINGLE PROTEIN
Insulin receptor-related protein,CHEMBL5483,SINGLE PROTEIN
D-amino-acid oxidase,CHEMBL5485,SINGLE PROTEIN
Huntingtin,CHEMBL5514,SINGLE PROTEIN
Lysophosphatidylserine lipase ABHD12,CHEMBL5516,SINGLE PROTEIN
Secreted frizzled-related protein 1,CHEMBL5517,SINGLE PROTEIN
Misshapen-like kinase 1,CHEMBL5518,SINGLE PROTEIN
Serine/threonine-protein kinase DCLK2,CHEMBL5519,SINGLE PROTEIN
Casein kinase I isoform alpha-like,CHEMBL5520,SINGLE PROTEIN
Diacylglycerol lipase-beta,CHEMBL5521,SINGLE PROTEIN
Transient receptor potential cation channel subfamily V member 3,CHEMBL5522,SINGLE PROTEIN
Myosin-IIIa,CHEMBL5546,SINGLE PROTEIN
Ankyrin repeat and protein kinase domain-containing protein 1,CHEMBL5547,SINGLE PROTEIN
Prokineticin receptor 2,CHEMBL5548,SINGLE PROTEIN
Tubulin--tyrosine ligase,CHEMBL5549,SINGLE PROTEIN
"Atypical kinase COQ8A, mitochondrial",CHEMBL5550,SINGLE PROTEIN
Sodium/nucleoside cotransporter 1,CHEMBL5551,SINGLE PROTEIN
Serine/threonine-protein kinase 25,CHEMBL5552,SINGLE PROTEIN
ATP-dependent RNA helicase DDX3X,CHEMBL5553,SINGLE PROTEIN
Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,CHEMBL5554,SINGLE PROTEIN
Stearoyl-CoA desaturase,CHEMBL5555,SINGLE PROTEIN
Cyclin-dependent kinase 2-associated protein 1,CHEMBL5578,SINGLE PROTEIN
Citron Rho-interacting kinase,CHEMBL5579,SINGLE PROTEIN
Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,CHEMBL5580,SINGLE PROTEIN
Ras-related C3 botulinum toxin substrate 2,CHEMBL5581,SINGLE PROTEIN
Carbonyl reductase [NADPH] 1,CHEMBL5586,SINGLE PROTEIN
Cyclic AMP-responsive element-binding protein 1,CHEMBL5587,SINGLE PROTEIN
Prolactin receptor,CHEMBL5588,SINGLE PROTEIN
Integrin alpha-2,CHEMBL4998,SINGLE PROTEIN
Aldo-keto reductase family 1 member C4,CHEMBL4999,SINGLE PROTEIN
Nuclear receptor subfamily 4 group A member 2,CHEMBL5002,SINGLE PROTEIN
Adapter molecule crk,CHEMBL5005,SINGLE PROTEIN
G-protein coupled receptor 12,CHEMBL5006,SINGLE PROTEIN
Galectin-7,CHEMBL5008,SINGLE PROTEIN
Prokineticin receptor 1,CHEMBL5649,SINGLE PROTEIN
Serine/threonine-protein kinase BRSK1,CHEMBL5650,SINGLE PROTEIN
Serine/threonine-protein kinase 35,CHEMBL5651,SINGLE PROTEIN
Glucose-dependent insulinotropic receptor,CHEMBL5652,SINGLE PROTEIN
Myosin-IIIb,CHEMBL5654,SINGLE PROTEIN
Prostaglandin E synthase,CHEMBL5658,SINGLE PROTEIN
Serine/threonine-protein kinase RIO3,CHEMBL5659,SINGLE PROTEIN
Kinetochore protein NDC80 homolog,CHEMBL5660,SINGLE PROTEIN
Exportin-1,CHEMBL5661,SINGLE PROTEIN
Serine/threonine-protein kinase DCLK1,CHEMBL5683,SINGLE PROTEIN
"Muscle, skeletal receptor tyrosine-protein kinase",CHEMBL5684,SINGLE PROTEIN
Solute carrier family 22 member 1,CHEMBL5685,SINGLE PROTEIN
Tryptophan 5-hydroxylase 1,CHEMBL5689,SINGLE PROTEIN
DNA ligase 1,CHEMBL5694,SINGLE PROTEIN
Glutathione hydrolase 1 proenzyme,CHEMBL5696,SINGLE PROTEIN
Tumor necrosis factor ligand superfamily member 6,CHEMBL5714,SINGLE PROTEIN
Paxillin,CHEMBL5715,SINGLE PROTEIN
Nuclear receptor subfamily 2 group C member 2,CHEMBL5716,SINGLE PROTEIN
Cyclin-dependent kinase 8,CHEMBL5719,SINGLE PROTEIN
GMP synthase [glutamine-hydrolyzing],CHEMBL5721,SINGLE PROTEIN
Ectonucleoside triphosphate diphosphohydrolase 1,CHEMBL5722,SINGLE PROTEIN
Cyclin-dependent kinase-like 2,CHEMBL5728,SINGLE PROTEIN
CREB-binding protein,CHEMBL5747,SINGLE PROTEIN
ATP-binding cassette sub-family C member 2,CHEMBL5748,SINGLE PROTEIN
