molecule_chembl_id,std_smiles,standard_type,IC50_nM,n_mediciones,pActividad,activo,MW,LogP,HBD,HBA,TPSA,RotBonds,QED,lipinski_ok,es_pains,razon_pains
CHEMBL52882,CNC1=CC2N=CN(C)/C(=N\c3cccc(Br)c3)C2C=N1,IC50,3.1,1,8.508638306165727,1,346.23,2.58,1,4,52.35,2,0.895,True,False,
CHEMBL1980995,CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Ki,25.12,1,7.599980364934842,1,466.54,4.35,2,4,69.45,2,0.406,True,False,
CHEMBL6008734,CNC1CCC(n2nc(-c3ccc(CNC(=O)c4ccccc4OC)cc3)c3c(N)ncnc32)CC1,IC50,550.0,1,6.259637310505756,1,485.59,3.72,3,7,119.98,7,0.365,True,False,
CHEMBL391779,CNC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,IC50,63.0,1,7.200659450546417,1,484.58,4.19,2,6,75.31,7,0.361,True,False,
CHEMBL5864399,CNC1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccccc4NS(C)(=O)=O)n3)c(OC)c2)CC1,IC50,0.4,1,9.397940008672037,1,532.07,4.19,4,9,120.51,9,0.322,True,False,
CHEMBL56266,CNCC(O)COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,IC50,5.0,1,8.301029995663981,1,406.85,3.13,3,7,88.53,8,0.529,True,False,
CHEMBL293090,CNCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,IC50,8.0,1,8.096910013008056,1,376.82,3.77,2,6,68.3,7,0.612,True,False,
CHEMBL255135,CNCCOc1n[nH]c2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,IC50,17.0,1,7.769551078621725,1,425.88,3.32,3,8,109.87,9,0.35,True,False,
CHEMBL5174300,CNCc1ccccc1-c1csc([C@@H](C)Nc2nncc3cc(OC)c(OC)cc23)c1,IC50,10000.0,1,5.0,0,434.57,5.27,2,7,68.3,8,0.394,True,False,
CHEMBL3098321,CNS(=O)(=O)c1ccc(Nc2nc(Cl)nc3cc(OC)c(OC)cc23)cc1,IC50,1630.0,1,5.787812395596041,0,408.87,2.95,2,7,102.44,6,0.604,True,False,
CHEMBL4074045,CNS(=O)(=O)c1cccc(N(C)c2cc(Nc3cccc(C)c3)ncn2)c1,IC50,2000.0,1,5.698970004336018,0,383.48,3.2,2,6,87.22,6,0.68,True,False,
CHEMBL4086869,CNS(=O)(=O)c1cccc(Nc2cc(N(C)c3cccc(C)c3)ncn2)c1,IC50,20.0,1,7.698970004336018,1,383.48,3.2,2,6,87.22,6,0.68,True,False,
CHEMBL3915155,CNS(=O)(=O)c1cccc(Nc2cc(Nc3ccc(Cl)cc3)ncn2)c1,IC50,13.0,1,7.886056647693162,1,389.87,3.53,3,6,96.01,6,0.597,True,False,
CHEMBL4061645,CNS(=O)(=O)c1cccc(Nc2cc(Nc3ccc(Cl)cn3)ncn2)c1,IC50,630.0,1,6.200659450546417,1,390.86,2.92,3,7,108.9,6,0.593,True,False,
CHEMBL4076602,CNS(=O)(=O)c1cccc(Nc2cc(Nc3cccc(C(C)(C)C)c3)ncn2)c1,IC50,400.0,1,6.3979400086720375,1,411.53,4.17,3,6,96.01,6,0.563,True,False,
CHEMBL4084208,CNS(=O)(=O)c1cccc(Nc2cc(Nc3cccc(C(C)C)c3)ncn2)c1,IC50,25.0,1,7.602059991327962,1,397.5,4.0,3,6,96.01,7,0.558,True,False,
CHEMBL4097027,CNS(=O)(=O)c1cccc(Nc2cc(Nc3cccc(C)c3)ncn2)c1,IC50,3.0,1,8.522878745280337,1,369.45,3.18,3,6,96.01,6,0.618,True,False,
CHEMBL4105656,CNS(=O)(=O)c1cccc(Nc2cc(Nc3cccc(S(=O)(=O)NC)c3)ncn2)c1,IC50,1600.0,1,5.795880017344075,0,448.53,1.78,4,8,142.18,8,0.408,True,False,
CHEMBL4065426,CNS(=O)(=O)c1cccc(Nc2cc(Nc3cccc([N+](=O)[O-])c3)ncn2)c1,IC50,4.0,1,8.397940008672036,1,400.42,2.78,3,8,139.15,7,0.406,True,False,
CHEMBL1971029,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C(C)=O)CC3)ccc2OC)ncc1Br,Ki,100.0,1,7.0,1,590.5,3.31,3,9,128.79,8,0.362,True,True,anil_di_alk_C(246)
CHEMBL1993661,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC)c(OC)c(OC)c2)ncc1Cl,Ki,79.43,1,7.100015437450609,1,479.95,3.55,3,9,123.7,9,0.422,True,False,
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,0.29,1,9.537602002101043,1,466.54,4.35,2,4,69.45,2,0.406,True,False,
CHEMBL3974328,CN[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2Oc1cc2ncnc(Nc3ccc(Br)c(Cl)c3)c2cc1OC,IC50,50.0,1,7.30102999566398,1,521.8,3.93,2,8,86.76,6,0.505,True,False,
CHEMBL337026,CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4=O,IC50,200.0,1,6.698970004336019,1,480.52,3.99,2,5,86.52,2,0.373,True,False,
CHEMBL338049,CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O,IC50,17.0,1,7.769551078621725,1,482.54,3.84,3,5,89.68,2,0.356,True,False,
CHEMBL338155,CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)[C@H](O)NC4=O,IC50,260.0,1,6.585026652029182,1,482.54,3.84,3,5,89.68,2,0.356,True,False,
CHEMBL5828469,CNc1cc(C(=O)/N=c2\[nH]c3ccccc3n2[C@H]2CC[C@@H](O)CC2)cc(-c2cnn(C)c2)n1,IC50,4.9,1,8.309803919971486,1,445.53,3.02,3,5,113.12,4,0.447,True,False,
CHEMBL464014,CNc1cc(Nc2ccc(-c3nc4ccccc4s3)cc2)ccn1,IC50,10000.0,1,5.0,0,332.43,5.14,2,5,49.84,4,0.543,True,False,
CHEMBL53753,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,IC50,0.008,1,11.096910013008056,1,330.19,3.57,2,5,62.73,3,0.769,True,False,
CHEMBL165788,CNc1cc2c(Nc3cccc(C(F)(F)F)c3)ncnc2cn1,IC50,1.1,1,8.958607314841773,1,319.29,3.83,2,5,62.73,3,0.768,True,False,
CHEMBL162821,CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1,IC50,0.45,1,9.346787486224656,1,265.32,3.12,2,5,62.73,3,0.761,True,False,
CHEMBL166154,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,IC50,0.19,1,9.72124639904717,1,285.74,3.46,2,5,62.73,3,0.771,True,False,
