assay_chembl_id,canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value,confidence_score,pValue,mol_weight
CHEMBL2318907,COc1cc(/C=C2\CCC/C(=C\c3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)C2=O)cc(OC)c1,CHEMBL2316159,5.32,IC50,nM,4800.0,IC50,uM,4.8,9,5.318758762624412,462.6300000000002
CHEMBL2020642,COc1cc2ncnc(Nc3ccc(NC(=O)OC(C)C)cc3)c2cc1OC,CHEMBL2018750,5.32,IC50,nM,4800.0,IC50,uM,4.8,9,5.318758762624412,382.4200000000002
CHEMBL957461,Nc1nc(Nc2cccc(Br)c2)c2cc(CCc3cccc4ccccc34)[nH]c2n1,CHEMBL484108,5.32,IC50,nM,4800.0,IC50,uM,4.8,8,5.318758762624412,458.36300000000017
CHEMBL677890,CO[C@H]1[C@@H](N(C)C(=O)c2cccc([N+](=O)[O-])c2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL130208,5.32,IC50,nM,4800.0,IC50,uM,4.8,8,5.318758762624412,615.6460000000001
CHEMBL3616083,NC(=O)c1cnc2ccc(C(=O)/C=C/c3ccc(Cl)cc3)cc2c1Nc1ccc(Br)cc1,CHEMBL3613695,5.32,IC50,nM,4824.0,IC50,uM,4.824,9,5.316592700867904,506.7870000000001
CHEMBL5537874,C/C=C/C(=O)Nc1cc2c(Oc3ccc(NC(=O)n4c(=O)c(-c5ccccc5)c(C)n4C)cc3F)cccc2cc1OC,CHEMBL5574303,5.32,IC50,nM,4832.0,IC50,nM,4832.0,9,5.315873074386924,580.6160000000002
CHEMBL674641,CN(C)c1ccc(Nc2ncnc3cc(N)ncc23)cc1,CHEMBL341053,5.31,IC50,nM,4860.0,IC50,uM,4.86,8,5.313363730737706,280.335
CHEMBL1958796,O=C1CSC(N2N=C(c3ccccc3)CC2c2ccc(F)cc2)=N1,CHEMBL1958020,5.31,IC50,nM,4860.0,IC50,uM,4.86,9,5.313363730737706,339.39500000000004
CHEMBL4628612,CN1CCN(C/C=C/C(=O)N2CCCOc3cc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4cc32)CC1,CHEMBL4639556,5.31,IC50,nM,4870.0,IC50,uM,4.87,9,5.3124710387853655,617.125
CHEMBL4628612,CC1CCN(C/C=C/C(=O)N2CCCOc3cc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4cc32)CC1,CHEMBL4641942,5.31,IC50,nM,4870.0,IC50,uM,4.87,9,5.3124710387853655,616.137
CHEMBL3991696,Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,CHEMBL1922094,5.31,Kd,nM,4874.0,Kd apparent,nM,4874.0,9,5.3121144751512945,498.61300000000034
CHEMBL5358074,CCNS(=O)(=O)c1cnc(Nc2ccnc(-c3cnn(S(=O)(=O)C4CC4)c3)n2)cc1N[C@@H](C)CC,CHEMBL5415774,5.31,IC50,nM,4875.0,IC50,nmol/L,4875.0,9,5.312025379965444,520.6410000000003
CHEMBL1273341,CN(C)C/C=C/C(=O)N1CCc2c(sc3ncnc(NCCO)c23)C1,CHEMBL1271619,5.31,IC50,nM,4884.0,IC50,uM,4.884,8,5.3112243447271545,361.4710000000001
CHEMBL952131,CN(C)c1ccc(Nc2ncnc3ccncc23)c(N)c1,CHEMBL271540,5.31,IC50,nM,4897.79,pIC50,,5.31,8,5.309999839831226,280.335
CHEMBL867748,C=CC(=O)Nc1ccc2c(c1)CNc1c(Nc3ccc(F)c(Cl)c3)ncnc1O2,CHEMBL204164,5.31,IC50,nM,4900.0,IC50,uM,4.9,9,5.309803919971486,411.8240000000001
CHEMBL1693590,CN(C)Cc1cc(C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C2)cc(C(F)(F)F)c1,CHEMBL1688860,5.31,IC50,nM,4900.0,IC50,nM,4900.0,8,5.309803919971486,538.5700000000003
CHEMBL3606405,C=CC(=O)Nc1cccc(-c2nc(Nc3n[nH]c4ccccc34)cc(N3CCN(C)CC3)n2)c1,CHEMBL3604942,5.31,IC50,nM,4900.0,IC50,uM,4.9,9,5.309803919971486,454.5380000000003
CHEMBL4034792,COc1cc(Br)c(/C=C2\CN(C(C)C)CC(=C\c3nc(C)c(C)nc3C)/C2=N/O)cc1OC,CHEMBL4093642,5.31,IC50,nM,4900.0,IC50,uM,4.9,9,5.309803919971486,515.4520000000003
CHEMBL5227743,COc1ccc(-c2cc(=O)oc3c(O)c(O)ccc23)cc1O,CHEMBL5282499,5.31,IC50,nM,4900.0,IC50,uM,4.9,9,5.309803919971486,300.266
CHEMBL677204,COc1cccc2ncnc(NCc3ccccc3)c12,CHEMBL330882,5.31,IC50,nM,4900.0,IC50,nM,4900.0,8,5.309803919971486,265.31600000000003
CHEMBL3606405,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Oc3cccc(N)c3)n2)n[nH]1,CHEMBL3604929,5.31,IC50,nM,4900.0,IC50,uM,4.9,9,5.309803919971486,380.456
CHEMBL1827038,COc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(Cl)cc3)C2)cc1,CHEMBL1821891,5.31,IC50,nM,4940.0,IC50,uM,4.94,8,5.306273051076353,445.97500000000014
CHEMBL1071732,CCCCCCCCCOC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,CHEMBL599145,5.30,IC50,nM,4960.0,IC50,uM,4.96,8,5.304518323509802,438.52000000000015
CHEMBL3238947,COC(=O)CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,CHEMBL3233759,5.30,IC50,nM,4997.0,IC50,uM,4.997,9,5.301290650557413,394.8150000000001
CHEMBL4232983,CC(C)CN(C(=O)c1cccnc1)c1c2ccccc2c(=O)n2c1[nH]c1ccccc12,CHEMBL4247704,,Kd,nM,5000.0,Kd,uM,5.0,9,5.301029995663981,410.47700000000015
CHEMBL676154,Oc1cc2cc(-c3ccncc3)cnc2cc1O,CHEMBL87084,5.30,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,238.24599999999998
CHEMBL5512286,Cc1cc(-c2nn([C@@H]3CCCN(C(=O)[C@H](C)Cl)C3)c3ncnc(C)c23)ccc1Oc1ccc2c(c1)ncn2C,CHEMBL5561464,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,544.0590000000002
CHEMBL5512286,CC#CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C)ncnc32)C1,CHEMBL5563970,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,519.6090000000003
CHEMBL4041413,CCC(=O)N1CCC[C@@H](n2nc(-c3ccc(F)cc3)c3c(N)ncnc32)C1,CHEMBL4103121,5.30,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,368.4160000000001
CHEMBL5512286,CCC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C)ncnc32)C1,CHEMBL5559135,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,509.61400000000026
CHEMBL5512286,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C)ncnc32)CC1,CHEMBL5556683,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,521.6250000000002
CHEMBL5512286,Cc1cc(-c2nn([C@@H]3CCCN(C(=O)[C@@H](C)Cl)C3)c3ncnc(C)c23)ccc1Oc1ccc2c(c1)ncn2C,CHEMBL5557440,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,544.0590000000002
CHEMBL680022,O=C(O)c1cc(/N=C/c2cc(O)ccc2O)ccc1O,CHEMBL316764,5.30,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,273.244
CHEMBL5512286,C=C(F)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C)ncnc32)C1,CHEMBL5563679,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,525.5880000000002
CHEMBL5256648,CCC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,CHEMBL3701282,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,420.4730000000002
CHEMBL677207,O=C(NCc1ccccc1)c1ccc(-c2cccc(-c3ccccc3)c2O)cc1,CHEMBL141435,,IC50,nM,5000.0,IC50,uM,5.0,8,5.301029995663981,379.45900000000006
CHEMBL3137113,C=CC(=O)N1CCc2c(sc3ncnc(NC4CCCCC4)c23)C1,CHEMBL3133900,,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,342.4680000000003
CHEMBL680019,CC(C)Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,CHEMBL109759,,IC50,nM,5000.0,IC50,uM,5.0,8,5.301029995663981,363.2480000000001
CHEMBL677391,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc([N+](=O)[O-])ccc3n2C)c(C(=O)Nc2ccccc2)c2cc([N+](=O)[O-])ccc21,CHEMBL64430,5.30,IC50,nM,5000.0,IC50,uM,5.0,8,5.301029995663981,652.7140000000003
CHEMBL5512286,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(CC)ncnc32)C1,CHEMBL5555041,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,521.6250000000002
CHEMBL5512286,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C4CC4)ncnc32)C1,CHEMBL5527899,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,533.6360000000002
CHEMBL5512286,C=CC(=O)N1[C@@H]2CC[C@H]1C[C@@H](n1nc(-c3cc(C)c(Oc4ccc5c(c4)ncn5C)c(F)c3)c3c(C)ncnc31)C2,CHEMBL5549855,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,551.6260000000001
CHEMBL5127067,COc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Nc1nccc(-c2cn(C)c3ccccc23)n1,CHEMBL5191956,5.30,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,516.6020000000001
CHEMBL674009,CCCCCCCCCCCCCCCCOC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,CHEMBL168882,,IC50,nM,5000.0,IC50,uM,5.0,8,5.301029995663981,499.6920000000001
CHEMBL5512286,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccn(C)c(=O)c4)c(C)c3)c3c(N)ncnc32)C1,CHEMBL5518102,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,485.5480000000003
CHEMBL5512286,C=CC(=O)N1C[C@H](F)C[C@@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C)ncnc32)C1,CHEMBL5559188,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,525.5880000000002
CHEMBL5512286,C=CC(=O)N1C[C@@H](F)C[C@@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C)ncnc32)C1,CHEMBL5531961,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,525.5880000000002
CHEMBL5512286,C=CC(=O)N1CC[C@]12C[C@H](n1nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C)ncnc31)C2,CHEMBL5527996,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,519.6090000000003
CHEMBL5512286,C=CC(=O)N1CCC(n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C)ncnc32)CC1,CHEMBL5542937,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,507.59800000000035
CHEMBL674009,CC(C)CCCC(C)CCOC(=O)c1cc(/N=C/c2cc(O)ccc2O)ccc1O,CHEMBL354301,5.30,IC50,nM,5000.0,IC50,uM,5.0,8,5.301029995663981,413.5140000000001
CHEMBL5512286,C=CC(=O)N1CC[C@]12C[C@@H](n1nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C)ncnc31)C2,CHEMBL5561446,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,519.6090000000003
CHEMBL5256648,C=CC(=O)N1CC[C@H](n2nc(CCc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,CHEMBL5273555,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,422.4890000000002
CHEMBL5512286,C=CC(=O)N1[C@@H]2CC[C@H]1C[C@@H](n1nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3F)c3c(C)ncnc31)C2,CHEMBL5559752,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,551.6260000000002
CHEMBL5512286,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3cncnc32)C1,CHEMBL5557512,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,493.57100000000025
CHEMBL5512286,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C)ncnc32)C1,CHEMBL5549766,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,507.5980000000003
CHEMBL5512286,COC/C=C/C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C)ncnc32)C1,CHEMBL5557058,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,551.6510000000002
CHEMBL3226103,CCOC(=O)Nc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1C.Cl,CHEMBL3221555,5.30,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,418.88100000000014
CHEMBL5512286,C=CC(=O)N1CCC[C@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C)ncnc32)C1,CHEMBL5567982,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,507.5980000000003
CHEMBL2390159,CC(=O)c1ccc(Nc2c(C#N)cncc2-c2ccc(NC(=O)c3ccc(CN4CCN(C)CC4)cc3)cc2)cc1,CHEMBL2385973,,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,544.6590000000004
CHEMBL2427171,COc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(F)cc2)cc1,CHEMBL2426391,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,446.5070000000001
CHEMBL5256648,C=CC(=O)N1CC[C@H](n2nc(-c3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,CHEMBL5284165,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,394.4350000000002
CHEMBL680022,O=C(Oc1ccc(-c2ccccc2)cc1)c1cc(NCc2cc(O)ccc2O)ccc1O,CHEMBL171172,5.30,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,427.4560000000002
CHEMBL680017,O=[N+]([O-])c1ccc2ncnc(Nc3ccccc3)c2c1,CHEMBL328295,5.30,IC50,nM,5000.0,IC50,nM,5000.0,8,5.301029995663981,266.26
CHEMBL5256648,C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,CHEMBL3701238,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,418.4570000000002
CHEMBL2427171,COc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(C)cc2)cc1,CHEMBL2426383,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,442.54400000000015
CHEMBL2390159,CC(=O)c1ccc(Nc2c(C#N)cncc2-c2ccc(NC(=O)/C=C/CN(C)C)cc2)cc1,CHEMBL2385972,,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,439.5190000000002
CHEMBL2390159,Cc1ncc(C#N)c(Nc2ccc(OCc3ccccn3)c(Cl)c2)c1/C=C/c1ccc(CNCCS(C)(=O)=O)o1,CHEMBL2385963,,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,578.0940000000003
CHEMBL2390159,Cc1ncc(C#N)c(Nc2ccc(OCc3ccccn3)c(Cl)c2)c1/C=C/c1cccc(NC(=O)/C=C/CN(C)C)c1,CHEMBL2385962,,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,579.104
CHEMBL2390159,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C/c1cccc(NC(=O)/C=C/CN(C)C)c1,CHEMBL2385994,,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,572.084
CHEMBL2427171,COc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(Cl)cc2)cc1,CHEMBL2426387,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,462.9620000000001
CHEMBL2390159,Cc1ncc(C#N)c(Oc2ccc(OCc3ccccn3)c(Cl)c2)c1C#Cc1ccc(CNCCS(C)(=O)=O)o1,CHEMBL2385965,,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,577.0620000000002
CHEMBL898017,N#Cc1cnc2cnc(NCc3cccnc3)cc2c1Nc1ccccc1,CHEMBL238322,,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,352.40100000000007
CHEMBL680022,CC(C)(C)ONC(=O)Cc1cc(NCc2cc(O)ccc2O)ccc1O,CHEMBL168343,5.30,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,360.41
CHEMBL1243977,CC(C)n1nc(-c2ccc3c(c2)CCO3)c2c(N)ncnc21,CHEMBL1241587,5.30,IC50,nM,5000.0,IC50,uM,5.0,8,5.301029995663981,295.34599999999995
CHEMBL2020642,CCOC(=O)Nc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1C,CHEMBL2018762,5.30,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,382.4200000000002
CHEMBL2390159,CN(C)C/C=C/C(=O)Nc1ccc(-c2cncc(C#N)c2Nc2ccc(OCc3ccccn3)c(Cl)c2)cc1,CHEMBL2385966,,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,539.0390000000002
CHEMBL701406,Cc1cccc(C)c1NC(=O)/C(C#N)=C/c1ccc(O)c(O)c1,CHEMBL55360,,IC50,nM,5000.0,IC50,uM,5.0,8,5.301029995663981,308.33700000000005
CHEMBL3418213,O=C(c1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3s2)cc1)N1CCN(CCO)CC1,CHEMBL3416632,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,503.6280000000003
CHEMBL2427171,COc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(OC)cc2)cc1,CHEMBL2426395,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,458.5430000000002
CHEMBL5512286,C=CC(=O)N1CCC[C@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C)ncnc32)CC1,CHEMBL5559677,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,521.6250000000002
CHEMBL680019,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3cccnc3)nc21,CHEMBL110034,,IC50,nM,5000.0,IC50,uM,5.0,8,5.301029995663981,412.28000000000014
CHEMBL941404,Cl.NCCNC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,CHEMBL485065,5.30,IC50,nM,5000.0,IC50,uM,5.0,9,5.301029995663981,427.86600000000016
CHEMBL5705936,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,CHEMBL1230020,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,413.833
CHEMBL896194,N#Cc1cnc2c(Cl)cc(NCc3cccnc3)cc2c1Nc1ccc(F)c(Cl)c1,CHEMBL242852,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,438.2930000000001
CHEMBL896194,CN(C)CCCn1cc(CNc2cc(Br)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)nn1,CHEMBL425834,,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,557.859
CHEMBL896194,C[S+]([O-])c1cc(NCc2c[nH]cn2)cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc12,CHEMBL242206,5.30,IC50,nM,5000.0,IC50,nM,5000.0,9,5.301029995663981,454.9180000000002
