canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value
C=CC(=O)N1CCC(Nc2nc(Nc3ccc(OC)nc3)ncc2F)C1,CHEMBL5967217,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCn4ccnc4)c3)ncc2F)c1,CHEMBL5892354,6.26,IC50,nM,550.0,IC50,nM,550.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCn4ccnc4)c3)ncc2F)c1,CHEMBL5892354,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCn4ccnc4)c3)ncc2F)c1,CHEMBL5892354,,k_off,s-1,,koff,s-1,
C=CC(=O)NCc1cccc(Nc2nc(Nc3ccccc3)ncc2C)c1,CHEMBL5948133,6.26,IC50,nM,550.0,IC50,nM,550.0
C=CC(=O)NCc1cccc(Nc2nc(Nc3ccccc3)ncc2C)c1,CHEMBL5948133,,kon,,,kon,M-1-s-1,
C=CC(=O)NCc1cccc(Nc2nc(Nc3ccccc3)ncc2C)c1,CHEMBL5948133,,k_off,s-1,,koff,s-1,
CC(C)=CC(=O)c1ccc(Nc2nc(Nc3ccccc3)ncc2F)cc1,CHEMBL5761295,5.98,IC50,nM,1050.0,IC50,nM,1050.0
CC(C)=CC(=O)c1ccc(Nc2nc(Nc3ccccc3)ncc2F)cc1,CHEMBL5761295,,kon,,,kon,M-1-s-1,
CC(C)=CC(=O)c1ccc(Nc2nc(Nc3ccccc3)ncc2F)cc1,CHEMBL5761295,,k_off,s-1,,koff,s-1,
CC(C)=CC(=O)c1cccc(Nc2nc(Nc3cccc(OCCN(C)C)c3)ncc2F)c1,CHEMBL5784829,,IC50,nM,1000.0,IC50,nM,1000.0
CC(C)=CC(=O)c1cccc(Nc2nc(Nc3cccc(OCCN(C)C)c3)ncc2F)c1,CHEMBL5784829,,kon,,,kon,M-1-s-1,
CC(C)=CC(=O)c1cccc(Nc2nc(Nc3cccc(OCCN(C)C)c3)ncc2F)c1,CHEMBL5784829,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCN4CCOCC4)c3)ncc2F)c1,CHEMBL5752981,6.26,IC50,nM,550.0,IC50,nM,550.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCN4CCOCC4)c3)ncc2F)c1,CHEMBL5752981,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCN4CCOCC4)c3)ncc2F)c1,CHEMBL5752981,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2C(N)=O)c1,CHEMBL5814409,6.26,IC50,nM,550.0,IC50,nM,550.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2C(N)=O)c1,CHEMBL5814409,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2C(N)=O)c1,CHEMBL5814409,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OC)c3)ncc2C(N)=O)c1,CHEMBL5891594,6.26,IC50,nM,550.0,IC50,nM,550.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OC)c3)ncc2C(N)=O)c1,CHEMBL5891594,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OC)c3)ncc2C(N)=O)c1,CHEMBL5891594,,k_off,s-1,,koff,s-1,
C#CCOc1cccc(Nc2ncc(F)c(Nc3cccc(C(=O)C=C(C)C)c3)n2)c1,CHEMBL5995996,5.98,IC50,nM,1050.0,IC50,nM,1050.0
C#CCOc1cccc(Nc2ncc(F)c(Nc3cccc(C(=O)C=C(C)C)c3)n2)c1,CHEMBL5995996,,kon,,,kon,M-1-s-1,
C#CCOc1cccc(Nc2ncc(F)c(Nc3cccc(C(=O)C=C(C)C)c3)n2)c1,CHEMBL5995996,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2ncc(F)c(Oc3ccc(Oc4ccccc4)cc3)n2)c1,CHEMBL5823520,5.98,IC50,nM,1050.0,IC50,nM,1050.0
