canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value
C=C(C#N)C(O)c1cccc(Nc2nc(Nc3cccc(OC(F)(F)F)c3)ncc2F)c1,CHEMBL5964825,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCN4CCCC4=O)c3)ncc2F)c1,CHEMBL5750713,6.26,IC50,nM,550.0,IC50,nM,550.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCN4CCCC4=O)c3)ncc2F)c1,CHEMBL5750713,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCN4CCCC4=O)c3)ncc2F)c1,CHEMBL5750713,,k_off,s-1,,koff,s-1,
C=CC(=O)N1Cc2ccc(Nc3nc(Nc4ccc(OC)nc4)ncc3F)cc2C1,CHEMBL5778617,,IC50,nM,1000.0,IC50,nM,1000.0
C=CC(=O)N1Cc2ccc(Nc3nc(Nc4ccc(OC)nc4)ncc3F)cc2C1,CHEMBL5778617,,kon,,,kon,M-1-s-1,
C=CC(=O)N1Cc2ccc(Nc3nc(Nc4ccc(OC)nc4)ncc3F)cc2C1,CHEMBL5778617,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCc2ccc(Nc3nc(Nc4ccc(OC)nc4)ncc3F)cc21,CHEMBL5756147,,IC50,nM,1000.0,IC50,nM,1000.0
C=CC(=O)N1CCc2ccc(Nc3nc(Nc4ccc(OC)nc4)ncc3F)cc21,CHEMBL5756147,,kon,,,kon,M-1-s-1,
C=CC(=O)N1CCc2ccc(Nc3nc(Nc4ccc(OC)nc4)ncc3F)cc21,CHEMBL5756147,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2C2CC2)c1,CHEMBL5884460,,IC50,nM,100.0,IC50,nM,100.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2C2CC2)c1,CHEMBL5884460,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2C2CC2)c1,CHEMBL5884460,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCOc2ccc(Nc3nc(Nc4ccc(N5CCOCC5)nc4)ncc3C(C)=O)cc21,CHEMBL5776776,6.26,IC50,nM,550.0,IC50,nM,550.0
C=CC(=O)N1CCOc2ccc(Nc3nc(Nc4ccc(N5CCOCC5)nc4)ncc3C(C)=O)cc21,CHEMBL5776776,,kon,,,kon,M-1-s-1,
C=CC(=O)N1CCOc2ccc(Nc3nc(Nc4ccc(N5CCOCC5)nc4)ncc3C(C)=O)cc21,CHEMBL5776776,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCOc2ccc(Nc3nc(Nc4ccc(N5CCOCC5)cc4)ncc3C(C)=O)cc21,CHEMBL6041098,,IC50,nM,100.0,IC50,nM,100.0
C=CC(=O)N1CCOc2ccc(Nc3nc(Nc4ccc(N5CCOCC5)cc4)ncc3C(C)=O)cc21,CHEMBL6041098,,kon,,,kon,M-1-s-1,
C=CC(=O)N1CCOc2ccc(Nc3nc(Nc4ccc(N5CCOCC5)cc4)ncc3C(C)=O)cc21,CHEMBL6041098,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCOc2ccc(Nc3nc(Nc4ccc(OC)nc4)ncc3C(C)=O)cc21,CHEMBL5887560,6.26,IC50,nM,550.0,IC50,nM,550.0
C=CC(=O)N1CCOc2ccc(Nc3nc(Nc4ccc(OC)nc4)ncc3C(C)=O)cc21,CHEMBL5887560,,kon,,,kon,M-1-s-1,
C=CC(=O)N1CCOc2ccc(Nc3nc(Nc4ccc(OC)nc4)ncc3C(C)=O)cc21,CHEMBL5887560,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(N(C(=O)C=C)c2nc(Nc3ccc(OC)nc3)ncc2C#N)c1,CHEMBL5878630,6.26,IC50,nM,550.0,IC50,nM,550.0
C=CC(=O)Nc1cccc(N(C(=O)C=C)c2nc(Nc3ccc(OC)nc3)ncc2C#N)c1,CHEMBL5878630,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(N(C(=O)C=C)c2nc(Nc3ccc(OC)nc3)ncc2C#N)c1,CHEMBL5878630,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC(C)C)nc3)ncc2F)c1,CHEMBL5940517,,IC50,nM,1000.0,IC50,nM,1000.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC(C)C)nc3)ncc2F)c1,CHEMBL5940517,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC(C)C)nc3)ncc2F)c1,CHEMBL5940517,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2C#N)c1,CHEMBL6018336,,IC50,nM,100.0,IC50,nM,100.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2C#N)c1,CHEMBL6018336,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2C#N)c1,CHEMBL6018336,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc4c(c3)NCCO4)ncc2F)c1,CHEMBL6021927,,IC50,nM,100.0,IC50,nM,100.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc4c(c3)NCCO4)ncc2F)c1,CHEMBL6021927,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc4c(c3)NCCO4)ncc2F)c1,CHEMBL6021927,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc4c(c3)N(C(=O)OC(C)(C)C)CCO4)ncc2F)c1,CHEMBL5860263,5.98,IC50,nM,1050.0,IC50,nM,1050.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc4c(c3)N(C(=O)OC(C)(C)C)CCO4)ncc2F)c1,CHEMBL5860263,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc4c(c3)N(C(=O)OC(C)(C)C)CCO4)ncc2F)c1,CHEMBL5860263,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)nc3)ncc2C(=O)NC2CC2)c1,CHEMBL5765555,,IC50,nM,100.0,IC50,nM,100.0
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)nc3)ncc2C(=O)NC2CC2)c1,CHEMBL5765555,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)nc3)ncc2C(=O)NC2CC2)c1,CHEMBL5765555,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3)ncc2C(=O)NC2CC2)c1,CHEMBL5803352,,IC50,nM,100.0,IC50,nM,100.0
C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3)ncc2C(=O)NC2CC2)c1,CHEMBL5803352,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3)ncc2C(=O)NC2CC2)c1,CHEMBL5803352,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3)ncc2C(N)=O)c1,CHEMBL5998185,,IC50,nM,100.0,IC50,nM,100.0
